Timestamp,art_0,art_0_creator,art_1,art_1_creator,art_2,art_2_creator,art_3,art_3_creator,art_4,art_4_creator,art_5,art_5_creator,art_6,art_6_creator,art_7,art_7_creator,art_8,art_8_creator,art_9,art_9_creator,art_10,art_10_creator,art_11,art_11_creator,art_12,art_12_creator,art_13,art_13_creator,art_14,art_14_creator,art_15,art_15_creator,support_personal_use,support_commercial_use,use_to_create_art
7/14/2024 19:59:38,4,AI,5,AI,3,Human,2,Human,3,Human,2,Human,1,AI,1,AI,3,Human,1,Human,5,Human,4,AI,3,Human,5,AI,4,AI,3,Human,3,1,1
7/14/2024 19:59:53,4,AI,4,Human,3,,4,Human,4,AI,4,Human,3,AI,3,AI,3,AI,3,AI,4,Human,4,Human,4,Human,4,Human,4,AI,3,AI,2,2,3
7/14/2024 20:02:59,5,Human,5,Human,2,AI,4,Human,4,AI,3,AI,5,Human,4,AI,4,Human,4,AI,5,AI,5,Human,5,AI,5,Human,5,Human,4,Human,3,1,3
7/14/2024 20:04:17,5,Human,5,Human,3,AI,1,AI,2,AI,3,Human,3,AI,4,Human,3,Human,5,Human,4,AI,5,Human,2,AI,3,AI,4,Human,3,Human,4,1,1
7/14/2024 20:05:16,4,Human,5,Human,5,AI,3,Human,5,Human,2,Human,3,AI,4,Human,4,Human,4,Human,5,AI,5,Human,2,Human,5,Human,3,Human,3,Human,4,4,3
7/14/2024 21:15:04,4,Human,4,Human,5,AI,5,Human,4,AI,4,Human,5,AI,4,Human,3,Human,5,AI,5,AI,5,AI,4,Human,3,Human,5,AI,4,Human,4,4,3
7/14/2024 21:50:07,5,Human,4,Human,3,AI,3,Human,3,Human,2,Human,2,AI,2,Human,3,AI,3,Human,3,AI,3,AI,4,AI,4,Human,3,AI,3,Human,3,1,4
7/14/2024 22:02:21,4,Human,3,AI,2,AI,4,Human,2,AI,3,Human,2,AI,3,Human,2,AI,3,AI,3,AI,4,Human,4,Human,3,Human,4,Human,3,AI,3,4,2
7/14/2024 22:34:13,3,AI,5,Human,3,AI,4,Human,4,Human,4,Human,5,Human,2,AI,2,AI,5,Human,4,AI,5,Human,4,AI,5,Human,4,Human,3,Human,1,2,1
7/15/2024 10:52:41,3,,4,AI,1,AI,3,Human,1,Human,2,AI,4,AI,2,Human,1,AI,3,Human,4,AI,5,Human,4,Human,3,AI,5,AI,1,Human,5,4,5
7/15/2024 10:53:49,4,Human,5,AI,5,Human,3,Human,2,AI,2,Human,3,Human,3,AI,4,AI,3,Human,4,Human,5,Human,2,Human,2,AI,3,AI,4,Human,2,1,1
7/15/2024 15:17:14,4,Human,2,AI,4,Human,3,Human,3,Human,3,Human,3,Human,2,AI,3,Human,2,Human,4,AI,4,AI,3,Human,2,AI,3,Human,3,Human,2,2,2
7/15/2024 20:43:47,5,Human,3,AI,2,AI,2,Human,2,AI,2,Human,2,AI,2,AI,2,AI,3,Human,3,Human,4,Human,3,Human,4,Human,4,Human,3,Human,4,4,5
7/19/2024 13:03:19,4,Human,3,AI,2,AI,2,Human,2,AI,3,Human,3,AI,3,Human,3,Human,4,Human,3,AI,3,Human,3,Human,4,Human,3,AI,3,Human,4,3,4
7/19/2024 13:07:39,4,AI,5,Human,4,AI,5,Human,4,AI,3,Human,5,AI,4,Human,3,Human,4,Human,2,AI,4,Human,4,AI,4,Human,4,Human,3,AI,3,2,1
7/19/2024 13:09:51,4,Human,3,AI,3,Human,2,AI,2,AI,3,,2,AI,3,AI,3,AI,4,Human,2,AI,3,AI,3,AI,3,Human,4,Human,2,Human,4,2,3
7/19/2024 13:18:53,4,Human,2,AI,4,Human,4,Human,4,Human,2,Human,2,AI,3,Human,3,Human,2,AI,2,AI,4,Human,4,Human,2,Human,3,Human,3,Human,4,1,2
7/19/2024 13:36:38,2,AI,2,Human,2,AI,5,AI,2,AI,3,AI,2,AI,2,AI,2,AI,2,AI,5,AI,3,AI,5,Human,5,Human,5,Human,3,Human,1,2,1
7/19/2024 15:45:39,4,Human,2,AI,1,AI,1,Human,4,Human,2,Human,5,Human,4,Human,3,Human,4,Human,3,AI,4,Human,2,Human,2,AI,4,Human,3,Human,4,1,1
7/19/2024 15:51:24,3,AI,3,AI,4,Human,3,Human,4,Human,2,AI,4,Human,3,Human,3,Human,2,AI,4,AI,3,Human,2,AI,4,Human,3,AI,3,Human,4,3,3
7/19/2024 16:53:46,5,Human,1,Human,5,AI,3,AI,3,Human,3,AI,3,AI,5,Human,4,AI,5,Human,3,Human,2,Human,1,AI,2,AI,2,AI,2,Human,4,1,3
7/19/2024 17:24:08,4,Human,2,AI,4,Human,4,Human,5,Human,2,Human,3,Human,3,Human,2,Human,4,Human,5,Human,5,Human,2,AI,4,Human,3,AI,3,Human,3,3,1
7/19/2024 21:43:17,4,Human,4,AI,3,Human,2,AI,3,AI,1,AI,2,Human,3,AI,2,Human,3,AI,2,,5,Human,3,Human,4,Human,2,AI,1,Human,1,1,1
7/20/2024 9:41:23,4,Human,3,AI,2,AI,4,Human,5,Human,3,Human,5,AI,4,Human,2,AI,4,Human,1,AI,3,Human,5,Human,4,Human,4,AI,3,Human,4,1,2
7/20/2024 21:56:22,3,AI,3,Human,4,Human,4,AI,1,AI,3,Human,4,AI,4,Human,3,AI,4,Human,4,AI,4,Human,2,Human,1,Human,3,Human,2,AI,3,3,2
7/22/2024 10:10:47,4,Human,3,AI,2,Human,3,AI,3,Human,2,Human,3,AI,3,AI,2,AI,4,Human,3,AI,3,AI,2,Human,3,Human,3,Human,3,Human,3,2,3
7/24/2024 0:11:23,3,AI,4,AI,2,AI,4,Human,1,AI,3,Human,4,Human,4,AI,3,AI,2,AI,4,Human,4,AI,3,Human,4,Human,5,Human,3,AI,2,2,2